slit_separation_fs,visibility,beta_eff_inv_s,D_proxy,deltaI_bits_from_D,deltaI_bits_from_beta,lambda_phase5_inv_s,deltaI_bits_from_gkls,gkls_window_fs,deltaI_bits_used,q_loss,rhs_half_deltaI,PASS,note
-1300.0,0.1617804801214165,2582783020891.218,,,4.844018732711569,370370370370.3703,0.6946309456132046,1300.0,0.6946309456132046,1.8215149236540187,0.3473154728066023,True,gkls_rate_proxy
-1200.0,0.1430444684697817,2630919937048.583,,,4.554738175387074,370370370370.3703,0.6411977959506504,1200.0,0.6411977959506504,1.9445997287427048,0.3205988979753252,True,gkls_rate_proxy
-1100.0,0.1793857242658825,2681891549069.1147,,,4.256066801848435,370370370370.3703,0.5877646462880962,1100.0,0.5877646462880962,1.7182169074072884,0.2938823231440481,True,gkls_rate_proxy
-1000.0,0.1557407404673277,2716565584251.538,,,3.919175696649324,370370370370.3703,0.5343314966255419,1000.0,0.5343314966255419,1.859562574334983,0.26716574831277096,True,gkls_rate_proxy
-900.0,0.1492818782398329,2712501138264.0527,,,3.521980746521296,370370370370.3703,0.4808983469629878,900.0,0.4808983469629878,1.901918959969806,0.2404491734814939,True,gkls_rate_proxy
-800.0,0.1259908238852658,2658606632388.0625,,,3.068446883376612,370370370370.3703,0.42746519730043353,800.0,0.42746519730043353,2.0715462009900376,0.21373259865021677,True,gkls_rate_proxy
-700.0,0.1089404955518262,2555795369235.048,,,2.5810633133056666,370370370370.3703,0.3740320476378794,700.0,0.3740320476378794,2.2169534581859707,0.1870160238189397,True,gkls_rate_proxy
-600.0,0.1460923751921267,2402985243182.018,,,2.0800649362008343,370370370370.3703,0.3205988979753252,600.0,0.3205988979753252,1.9235161505529688,0.1602994489876626,True,gkls_rate_proxy
-500.0,0.0922680643944475,2448479801013.645,,,1.7662048333195908,370370370370.3703,0.26716574831277096,500.0,0.26716574831277096,2.383057195237722,0.13358287415638548,True,gkls_rate_proxy
-400.0,0.108392924163192,2161910956574.9487,,,1.2475912863576777,370370370370.3703,0.21373259865021677,400.0,0.21373259865021677,2.221992467354419,0.10686629932510838,True,gkls_rate_proxy
-300.0,0.0888559237167322,2034887294300.4531,,,0.8807165424765676,370370370370.3703,0.1602994489876626,300.0,0.1602994489876626,2.420739055622096,0.0801497244938313,True,gkls_rate_proxy
-200.0,0.1095022920922459,1857258289700.3987,,,0.5358914648401367,370370370370.3703,0.10686629932510838,200.0,0.10686629932510838,2.2118097975953823,0.05343314966255419,True,gkls_rate_proxy
-100.0,0.1332852099891449,1775790110427.3853,,,0.25619235859732536,370370370370.3703,0.05343314966255419,100.0,0.05343314966255419,2.0152640107728117,0.026716574831277096,True,gkls_rate_proxy
0.0,0.1281201620802993,1731586456646.7456,,,0.0,370370370370.3703,,0.0,,2.054786689175641,,False,gkls_rate_proxy
100.0,0.1686258279982071,1781171148546.3416,,,0.2569686782982306,370370370370.3703,0.05343314966255419,100.0,0.05343314966255419,1.7800730541729761,0.026716574831277096,True,gkls_rate_proxy
200.0,0.1085201609336177,1864913892169.848,,,0.5381004047836749,370370370370.3703,0.10686629932510838,200.0,0.10686629932510838,2.2208193082067176,0.05343314966255419,True,gkls_rate_proxy
300.0,0.1036666001736058,2041743688588.491,,,0.8836840482878868,370370370370.3703,0.1602994489876626,300.0,0.1602994489876626,2.266575296883381,0.0801497244938313,True,gkls_rate_proxy
400.0,0.168657089765607,2161357935365.5356,,,1.247272149975147,370370370370.3703,0.21373259865021677,400.0,0.21373259865021677,1.7798876800206371,0.10686629932510838,True,gkls_rate_proxy
500.0,0.15406823263763,2439073642124.3643,,,1.7594197239279017,370370370370.3703,0.26716574831277096,500.0,0.26716574831277096,1.8703597056191077,0.13358287415638548,True,gkls_rate_proxy
600.0,0.1500372650673688,2378721210582.5312,,,2.0590615764988858,370370370370.3703,0.3205988979753252,600.0,0.3205988979753252,1.8968715819579844,0.1602994489876626,True,gkls_rate_proxy
700.0,0.1387797040574952,2518558777768.125,,,2.5434585812114103,370370370370.3703,0.3740320476378794,700.0,0.3740320476378794,1.9748674659708894,0.1870160238189397,True,gkls_rate_proxy
800.0,0.1817467490416701,2610587816012.221,,,3.013025676772785,370370370370.3703,0.42746519730043353,800.0,0.42746519730043353,1.7051410497069135,0.21373259865021677,True,gkls_rate_proxy
900.0,0.1017530945834285,2658992758352.6377,,,3.452504099611515,370370370370.3703,0.4808983469629878,900.0,0.4808983469629878,2.285206041525568,0.2404491734814939,True,gkls_rate_proxy
1000.0,0.1561057875107666,2664746840365.589,,,3.84441705181997,370370370370.3703,0.5343314966255419,1000.0,0.5343314966255419,1.8572213764864947,0.26716574831277096,True,gkls_rate_proxy
1100.0,0.1488562311680605,2637696890565.4863,,,4.185931445725773,370370370370.3703,0.5877646462880962,1100.0,0.5877646462880962,1.904774330333658,0.2938823231440481,True,gkls_rate_proxy
1200.0,0.1633381809085954,2596773775784.951,,,4.495623178362551,370370370370.3703,0.6411977959506504,1200.0,0.6411977959506504,1.8119324979537714,0.3205988979753252,True,gkls_rate_proxy
1300.0,0.1339303418556857,2558172886343.236,,,4.79786233792319,370370370370.3703,0.6946309456132046,1300.0,0.6946309456132046,2.010435451091137,0.3473154728066023,True,gkls_rate_proxy
